Date as of,First week,Last week,State,County name,FIPS County Code,Deaths involving COVID-19,Deaths from All Causes
9/30/2020,2/1/2020,9/26/2020,AZ,Apache County,4001,42,355
9/30/2020,2/1/2020,9/26/2020,AZ,Cochise County,4003,30,727
9/30/2020,2/1/2020,9/26/2020,AZ,Maricopa County,4013,"3,309","29,199"
9/30/2020,2/1/2020,9/26/2020,AZ,Pinal County,4021,81,"1,845"
9/30/2020,2/1/2020,9/26/2020,CA,Merced County,6047,77,"1,075"
9/30/2020,2/1/2020,9/26/2020,CA,San Joaquin County,6077,411,"4,070"
9/30/2020,2/1/2020,9/26/2020,CA,Santa Barbara County,6083,120,"2,236"
9/30/2020,2/1/2020,9/26/2020,CA,Yolo County,6113,41,796
9/30/2020,2/1/2020,9/26/2020,CO,Adams County,8001,280,"2,618"
9/30/2020,2/1/2020,9/26/2020,CO,Boulder County,8013,83,"1,633"
9/30/2020,2/1/2020,9/26/2020,CO,Douglas County,8035,67,"1,160"
9/30/2020,2/1/2020,9/26/2020,CO,Larimer County,8069,66,"1,795"
9/30/2020,2/1/2020,9/26/2020,CT,Fairfield County,9001,"1,433","5,351"
9/30/2020,2/1/2020,9/26/2020,DE,New Castle County,10003,272,"3,565"
9/30/2020,2/1/2020,9/26/2020,DE,Sussex County,10005,183,"1,815"
9/30/2020,2/1/2020,9/26/2020,FL,Escambia County,12033,308,"3,399"
9/30/2020,2/1/2020,9/26/2020,FL,Hendry County,12051,16,138
9/30/2020,2/1/2020,9/26/2020,FL,Hernando County,12053,122,"2,073"
9/30/2020,2/1/2020,9/26/2020,FL,Jackson County,12063,50,400
9/30/2020,2/1/2020,9/26/2020,FL,Miami-Dade County,12086,"3,060","17,353"
9/30/2020,2/1/2020,9/26/2020,FL,Okaloosa County,12091,117,"1,398"
9/30/2020,2/1/2020,9/26/2020,FL,Okeechobee County,12093,23,298
9/30/2020,2/1/2020,9/26/2020,FL,Pasco County,12101,169,"4,463"
9/30/2020,2/1/2020,9/26/2020,FL,Seminole County,12117,161,"2,463"
9/30/2020,2/1/2020,9/26/2020,FL,Sumter County,12119,73,"1,665"
9/30/2020,2/1/2020,9/26/2020,GA,Cherokee County,13057,49,893
9/30/2020,2/1/2020,9/26/2020,GA,Clarke County,13059,108,"1,106"
9/30/2020,2/1/2020,9/26/2020,GA,Clayton County,13063,58,935
9/30/2020,2/1/2020,9/26/2020,GA,Decatur County,13087,13,207
9/30/2020,2/1/2020,9/26/2020,GA,Dodge County,13091,12,133
9/30/2020,2/1/2020,9/26/2020,GA,Henry County,13151,99,"1,313"
9/30/2020,2/1/2020,9/26/2020,GA,Houston County,13153,68,884
9/30/2020,2/1/2020,9/26/2020,GA,Putnam County,13237,12,124
9/30/2020,2/1/2020,9/26/2020,GA,Spalding County,13255,88,797
9/30/2020,2/1/2020,9/26/2020,GA,Toombs County,13279,52,364
9/30/2020,2/1/2020,9/26/2020,GA,Whitfield County,13313,50,601
9/30/2020,2/1/2020,9/26/2020,IA,Mahaska County,19123,18,166
9/30/2020,2/1/2020,9/26/2020,IA,Polk County,19153,330,"3,497"
9/30/2020,2/1/2020,9/26/2020,IA,Poweshiek County,19157,10,135
9/30/2020,2/1/2020,9/26/2020,ID,Kootenai County,16055,40,"1,220"
9/30/2020,2/1/2020,9/26/2020,IL,Lake County,17097,396,"3,988"
9/30/2020,2/1/2020,9/26/2020,IL,LaSalle County,17099,44,713
